Strasse vor 1882,Nummer vor 1882,Strasse,Nummer,Scan,ID,Status
Speichergasse,1a,Speichergasse,2,3012654,1,Unbekannte Hausnummer
Speichergasse,2,Speichergasse,2a,3012654,2,Unbekannte Hausnummer
Speichergasse,3a,Speichergasse,2b,3012654,3,Unbekannte Hausnummer
Speichergasse,3b,Speichergasse,2c,3012654,4,Unbekannte Hausnummer
Speichergasse,4a,Speichergasse,4,3012654,5,OK
Speichergasse,4b,Speichergasse,4a,3012654,6,OK
Speichergasse,4c,Speichergasse,4b,3012654,7,Unbekannte Hausnummer
Speichergasse,5c,Speichergasse,12,3012654,8,OK
Speichergasse,5c,Speichergasse,14,3012654,9,OK
Speichergasse,5a,Speichergasse,16,3012654,10,OK
Speichergasse,5d,Speichergasse,5,3012654,11,OK
Speichergasse,6a,Speichergasse,5,3012654,12,OK
Speichergasse,6b,Speichergasse,7,3012654,13,OK
Speichergasse,6b,Speichergasse,9,3012654,14,OK
Speichergasse,6c,Speichergasse,11,3012654,15,OK
Speichergasse,6d,Speichergasse,13,3012654,16,OK
Speichergasse,6e,Speichergasse,13,3012654,17,OK
Speichergasse,6f,Speichergasse,15,3012654,18,OK
Speichergasse,6h,Speichergasse,19,3012654,19,OK
Speichergasse,6i,Speichergasse,21,3012654,20,OK
Speichergasse,6k,Speichergasse,23,3012654,21,OK
Speichergasse,6k,Speichergasse,29,3012654,22,OK
Speichergasse,6l,Speichergasse,31,3012654,23,OK
Speichergasse,6m,Speichergasse,33,3012654,24,OK
Speichergasse,6n,Speichergasse,35,3012654,25,OK
Speichergasse,6o,Speichergasse,35a,3012654,26,OK
Speichergasse,7a,Speichergasse,37,3012654,27,OK
Speichergasse,7b,Speichergasse,37a,3012654,28,Unbekannte Hausnummer
Speichergasse,8a,Speichergasse,39,3012654,29,OK
Speichergasse,9a,Speichergasse,41,3012654,30,Unbekannte Hausnummer
Speichergasse,9b,Speichergasse,43,3012654,31,Unbekannte Hausnummer
Anatomiegässchen,10a,Anatomiegasse,11,3012654,32,Unbekannte Strasse
Anatomiegässchen,10b,Anatomiegasse,9,3012654,33,Unbekannte Strasse
Anatomiegässchen,11a,Anatomiegasse,7,3012654,34,Unbekannte Strasse
Anatomiegässchen,11b,Anatomiegasse,7a,3012654,35,Unbekannte Strasse
Anatomiegässchen,12,Anatomiegasse,5,3012654,36,Unbekannte Strasse
Anatomiegässchen,13,Anatomiegasse,3,3012654,37,Unbekannte Strasse
Anatomiegässchen,14,Anatomiegasse,1,3012654,38,Unbekannte Strasse
Anatomiegässchen,14,Aarbergergasse,66,3012654,39,Unbekannte Hausnummer
Aarbergergasse,15a,Aarbergergasse,64,3012654,40,Unbekannte Hausnummer
Aarbergergasse,15b,Aarbergergasse,64a,3012654,41,Unbekannte Hausnummer
Aarbergergasse,16a,Aarbergergasse,62,3012654,42,Unbekannte Hausnummer
Aarbergergasse,16b,Aarbergergasse,62a,3012654,43,Unbekannte Hausnummer
Aarbergergasse,17a,Aarbergergasse,60,3012654,44,OK
Aarbergergasse,17b,Aarbergergasse,60a,3012654,45,OK
Aarbergergasse,18a,Aarbergergasse,58,3012654,46,Unbekannte Hausnummer
Aarbergergasse,18b,Aarbergergasse,58a,3012654,47,Unbekannte Hausnummer
Aarbergergasse,19a,Aarbergergasse,56,3012654,48,OK
Aarbergergasse,19b,Aarbergergasse,56a,3012654,49,Unbekannte Hausnummer
Aarbergergasse,20,Aarbergergasse,54,3012654,50,Unbekannte Hausnummer
Aarbergergasse,21,Aarbergergasse,52,3012654,51,OK
Aarbergergasse,22,Aarbergergasse,50,3012654,52,OK
Aarbergergasse,23,Aarbergergasse,48,3012654,53,Unbekannte Hausnummer
Aarbergergasse,24,Aarbergergasse,46,3012654,54,OK
Aarbergergasse,25a,Aarbergergasse,46a,3012654,55,Unbekannte Hausnummer
Aarbergergasse,25b,Aarbergergasse,46a,3012654,56,Unbekannte Hausnummer
Aarbergergasse,26,Aarbergergasse,44,3012654,57,Unbekannte Hausnummer
Aarbergergasse,27,Aarbergergasse,42,3012654,58,Unbekannte Hausnummer
Aarbergergasse,28,Aarbergergasse,42,3012654,59,Unbekannte Hausnummer
Aarbergergasse,29,Aarbergergasse,40,3012654,60,OK
Aarbergergasse,30a,Aarbergergasse,38,3012654,61,Unbekannte Hausnummer
Aarbergergasse,30b,Aarbergergasse,38a,3012654,62,Unbekannte Hausnummer
