Strasse,Hausnummer,PLZ,Ort,EGID,Breitengrad,Längengrad,Bau,Abbruch
Aarbergergasse,1,3011,Bern,2241724,46.9492678,7.4436883,1900,
Aarbergergasse,3,3011,Bern,2241725,46.9492803,7.4436557,1957,
Aarbergergasse,5,3011,Bern,2241726,46.9493179,7.4435292,1966,
Aarbergergasse,6,3011,Bern,1230729,46.9494649,7.4436423,,
Aarbergergasse,8,3011,Bern,2241727,46.9494819,7.4436064,,
Aarbergergasse,10,3011,Bern,1230730,46.9495331,7.4435222,,
Aarbergergasse,12,3011,Bern,1230731,46.9495428,7.4435014,,
Aarbergergasse,14,3011,Bern,2241728,46.9495902,7.4434258,1575,
Aarbergergasse,16,3011,Bern,1230732,46.9495453,7.4433826,,
Aarbergergasse,18,3011,Bern,504013638,46.9495543,7.4432720,,
Aarbergergasse,19,3011,Bern,1230702,46.9494214,7.4431254,,
Aarbergergasse,20,3011,Bern,1230733,46.9495935,7.4431483,1972,
Aarbergergasse,21,3011,Bern,2241730,46.9494122,7.4429896,1964,
Aarbergergasse,24,3011,Bern,2241731,46.9496154,7.4431357,1900,
Aarbergergasse,26,3011,Bern,1230734,46.9496066,7.4430604,,
Aarbergergasse,29,3011,Bern,2241732,46.9494668,7.4428961,1954,
Aarbergergasse,30,3011,Bern,1230742,46.9496873,7.4427220,,
Aarbergergasse,33,3011,Bern,1230704,46.9494904,7.4427285,,
Aarbergergasse,35,3011,Bern,1230704,46.9494007,7.4425324,,
Aarbergergasse,36,3011,Bern,2241733,46.9497261,7.4426878,1962,
Aarbergergasse,40,3011,Bern,1230743,46.9497935,7.4424354,,
Aarbergergasse,41,3011,Bern,1230724,46.9495651,7.4421420,,
Aarbergergasse,46,3011,Bern,2241734,46.9497671,7.4422826,1200,
Aarbergergasse,50,3011,Bern,1230744,46.9497908,7.4421437,,
Aarbergergasse,52,3011,Bern,1230745,46.9498034,7.4420102,,
Aarbergergasse,52a,3011,Bern,504013637,46.9499936,7.4421546,,
Aarbergergasse,53,3011,Bern,1230717,46.9495482,7.4420661,,
Aarbergergasse,55,3011,Bern,1230722,46.9496749,7.4416232,1941,
Aarbergergasse,56,3011,Bern,1230746,46.9498709,7.4418012,,
Aarbergergasse,57,3011,Bern,1230705,46.9497084,7.4415558,,
Aarbergergasse,60,3011,Bern,1230747,46.9498683,7.4417365,1907,
Aarbergergasse,60a,3011,Bern,1230747,46.9498710,7.4417381,1907,
Aarbergergasse,61,3011,Bern,2241738,46.9497976,7.4411957,1960,
Aarbergergasse,63,3011,Bern,1230707,46.9498538,7.4410239,,
Aarstrasse,22,3011,Bern,1230014,46.9462364,7.4519573,1928,
Aarstrasse,42,3011,Bern,1230001,46.9460919,7.4509316,,
Aarstrasse,62,3011,Bern,1230338,46.9461324,7.4491039,,
Aarstrasse,66,3011,Bern,504013632,46.9461184,7.4489875,1900,
Aarstrasse,76,3011,Bern,1230363,46.9461331,7.4481366,,
Aarstrasse,76a,3011,Bern,504013631,46.9460883,7.4479613,1970,
Aarstrasse,96,3005,Bern,190057688,46.9451993,7.4451167,1940,
Aarstrasse,96a,3005,Bern,504013630,46.9454733,7.4451132,1900,
Aarstrasse,98,3005,Bern,2241746,46.9450583,7.4449712,1901,
Aarstrasse,99,3005,Bern,504013629,46.9448285,7.4452429,1980,
Aarstrasse,99a,3005,Bern,504013628,46.9448077,7.4452371,1980,
Aarstrasse,102,3005,Bern,1235398,46.9443517,7.4444496,,
Aarstrasse,103,3005,Bern,504013636,46.9444826,7.4449666,1927,
Aarstrasse,104,3005,Bern,1235399,46.9441855,7.4443486,,
Aarstrasse,106,3005,Bern,1235400,46.9441153,7.4443015,,
Aarstrasse,106a,3005,Bern,504013635,46.9442362,7.4439786,1900,
Aarstrasse,108,3005,Bern,1235401,46.9440471,7.4442517,,
Aarstrasse,111,3005,Bern,1235514,46.9438796,7.4445452,,
Aarstrasse,111a,3005,Bern,504013634,46.9444627,7.4450302,1937,
Aarstrasse,111b,3005,Bern,504013633,46.9435896,7.4452583,1937,
Abendstrasse,1,3027,Bern,1243996,46.9464413,7.3856971,,
Abendstrasse,30,3018,Bern,1242979,46.9448262,7.3881129,,
Abendstrasse,35,3018,Bern,504013627,46.9449423,7.3897778,1975,
Abendstrasse,37,3018,Bern,2241752,46.9446332,7.3893510,1740,
Abendstrasse,37a,3018,Bern,504013626,46.9445189,7.3890929,1948,
Abendstrasse,37b,3018,Bern,504013625,46.9443621,7.3893559,1740,
Abendstrasse,48a,3027,Bern,504013624,46.9457329,7.3860732,1978,
Aberlistrasse,51,3006,Bern,1238075,46.9454874,7.4766477,,
Aberlistrasse,53,3006,Bern,1238076,46.9455878,7.4771742,,
Aberlistrasse,53a,3006,Bern,504013623,46.9453824,7.4773189,1957,
