Code,Parent,Name_de
"11101001","61300","Bergbauer | Bergbäuerin"
"11101002","61300","Kleinbauer | Kleinbäuerin"
"11101003","61300","Bauer | Bäuerin"
"11101004","61300","Landwirt | Landwirtin"
"11101005","61300","Pächter | Pächterin"
"11101007","61300","Landwirtschaftlicher Produzent | Landwirtschaftliche Produzentin"
"11101008","61300","Landwirt-Viehzüchter | Landwirtin-Viehzüchterin"
"11101009","92130","Betriebshelfer | Betriebshelferin"
"11101010","61300","Landwirt, Meister HFP | Landwirtin, Meisterin HFP"
"11101012","61300","Bauer, dipl., eidg. FA | Bäuerin, dipl., eidg. FA"
"11101013","61300","Landwirt/Gastwirt | Landwirtin/Gastwirtin"
"11101014","61300","Landwirtschaftlicher Betriebs- und Dorfhelfer | Landwirtschaftliche Betriebs- und Dorfhelferin"
"11101016","61300","Betriebsleiter Landwirtschaft | Betriebsleiterin Landwirtschaft"
"11101017","61300","Landwirt-Obstbauer | Landwirtin-Obstbäuerin"
"11101018","61300","Landwirt-Rebbauer | Landwirtin-Rebbäuerin"
"11101019","61300","Landwirt-Gärtner | Landwirtin-Gärtnerin"
"11101020","61300","Farmer | Farmerin"
"11101021","61300","Landwirt (Fähigkeitsprüfung) | Landwirtin (Fähigkeitsprüfung)"
"11101022","61300","Bauer, eidg. FA | Bäuerin, eidg. FA"
"11101024","61300","Bauer, dipl. | Bäuerin, dipl."
"11101025","61300","Bauer, dipl. HFP | Bäuerin, dipl. HFP"
"11101026","61300","Landwirt, Biolandbau | Landwirtin, Biolandbau"
"11101027","61300","Landwirt, eidg. FA | Landwirtin, eidg. FA"
"11101028","61211","Sentenbauer | Sentenbäuerin"
"11101029","61300","Fachmann der biologisch-dynamischen Landwirtschaft, eidg. FA | Fachfrau der biologisch-dynamischen Landwirtschaft, eidg. FA"
"11101030","61300","Agrarpraktiker EBA | Agrarpraktikerin EBA"
"11101031","61300","Agrarpraktiker EBA, Landwirtschaft | Agrarpraktikerin EBA, Landwirtschaft"
"11101032","61300","Bäuerlicher Haushaltleiter, eidg. FA | Bäuerin, eidg. FA"
"11101033","61300","Landwirt EFZ | Landwirtin EFZ"
"11101034","61300","Meisterlandwirt, dipl. HFP | Meisterlandwirtin, dipl. HFP"
"11101035","61300","Demeter-Landwirt | Demeter-Landwirtin"
"11101036","61300","Bäuerlicher Haushaltleiter, dipl. HFP | Bäuerin, dipl. HFP"
"11101037","61300","Betriebsleiter Landwirtschaft, eidg. FA | Betriebsleiterin Landwirtschaft, eidg. FA"
"11101038","61211","Alpmeister | Alpmeisterin"
"11102001","92130","Knecht | Magd"
"11102002","92130","Landwirtschaftlicher Dienstbote | Landwirtschaftliche Dienstbotin"
"11102004","92130","Fuhrknecht | Fuhrmagd"
"11102005","92120","Stallknecht | Stallmagd"
"11102006","92130","Landwirtschaftlicher Taglöhner | Landwirtschaftliche Taglöhnerin"
"11102007","92130","Meisterknecht | Meistermagd"
"11102008","92130","Landarbeiter | Landarbeiterin"
"11102009","92120","Melker | Melkerin"
"11102010","92130","Landwirtschaftlicher Angestellter | Landwirtschaftliche Angestellte"
"11102011","92130","Landwirtschaftliche Hilfe"
"11102012","92130","Karrer | Karrerin"
"11102014","61211","Alphirt | Alphirtin"
"11102016","92120","Viehknecht | Viehmagd"
"11102017","83410","Landwirtschaftlicher Traktorführer | Landwirtschaftliche Traktorführerin"
"11102018","92110","Pflücker | Pflückerin"
"11102019","92130","Dienstknecht | Dienstmagd"
"11102020","92120","Stallbursche | Stallmädchen"
"11102021","92130","Feldarbeiter | Feldarbeiterin"
"11102023","92130","Bauernknecht | Bauernmagd"
"11103001","13110","Gutsverwalter | Gutsverwalterin"
"11103002","13110","Gutsbesitzer | Gutsbesitzerin"
"11103003","32400","Besamungstechniker | Besamungstechnikerin"
"11103004","32400","Besamer | Besamerin"
"11103005","31420","Agrotechniker/-ingenieur | Agrotechnikerin/-ingenieurin"
"11103006","31410","Pflanzenschutztechniker | Pflanzenschutztechnikerin"
"11103007","61300","Landwirtschaftlicher Verwalter | Landwirtschaftliche Verwalterin"
"11103008","92110","Heilkräutersammler | Heilkräutersammlerin"
"11103009","75440","Mauser | Mauserin"
"11103010","21320","Landwirtschaftlicher Experte | Landwirtschaftliche Expertin"
"11103011","83410","Drescher | Drescherin"
"11103012","83410","Dreschmaschinenchauffeur | Dreschmaschinenchauffeurin"
"11103013","61300","Landwirtschaftlicher Betriebsverwalter | Landwirtschaftliche Betriebsverwalterin"
"11103014","61300","Landwirt für Spezialkulturen | Landwirtin für Spezialkulturen"
"11103015","21320","Landwirtschaftlicher Berater | Landwirtschaftliche Beraterin"
"11103016","32570","Viehinspektor | Viehinspektorin"
"11103017","61300","Anbauleiter | Anbauleiterin"
"11103018","92130","Landwirtschaftlicher Assistent | Landwirtschaftliche Assistentin"
"11103019","43210","Zuchtbuchführer | Zuchtbuchführerin"
"11103020","75440","Maulwurffänger | Maulwurffängerin"
"11103021","92110","Lischensammler | Lischensammlerin"
"11103022","61300","Ökonomieverwalter | Ökonomieverwalterin"
"11103024","92110","Drescharbeiter | Drescharbeiterin"
"11103025","92120","Züchtungsarbeiter | Züchtungsarbeiterin"
"11103026","21320","Melkbarkeitsexperte | Melkbarkeitsexpertin"
"11103027","21320","Melkberater | Melkberaterin"
"11103028","21320","Pflanzenbauberater | Pflanzenbauberaterin"
"11103029","21320","Getreidespezialist | Getreidespezialistin"
"11103030","21320","Anbauberater | Anbauberaterin"
"11103031","31420","Düngerberater | Düngerberaterin"
"11103032","21320","Pflanzenschutzberater | Pflanzenschutzberaterin"
"11103033","61100","Agrarpraktiker EBA, Spezialkulturen | Agrarpraktikerin EBA, Spezialkulturen"
"11103034","21320","Berater im ländlichen Raum, dipl. HFP | Beraterin im ländlichen Raum, dipl. HFP"
"11103035","75440","Neophytenbekämpfer | Neophytenbekämpferin"
"11103036","32570","Landwirtschaftlicher Inspektor | Landwirtschaftliche Inspektorin"
"11103037","33220","Fütterungsberater | Fütterungsberaterin"
"11201001","61121","Pomologe | Pomologin"
"11201002","31420","Obstbautechniker | Obstbautechnikerin"
"11201003","61121","Früchteanbauer | Früchteanbauerin"
"11201004","21320","Obstbauberater | Obstbauberaterin"
"11201005","61121","Obstbaufachmann | Obstbaufachfrau"
"11201006","61121","Obstzüchter | Obstzüchterin"
"11201007","61121","Obstbauer mit Meisterdiplom HFP | Obstbäuerin mit Meisterdiplom HFP"
"11201008","61121","Obst- und Weinbauer | Obst- und Weinbäuerin"
"11201009","92110","Obstsortierer | Obstsortiererin"
"11201010","61121","Obstbauer | Obstbäuerin"
"11201011","61121","Obstbaumpfleger | Obstbaumpflegerin"
"11201012","92110","Obstpflücker | Obstpflückerin"
"11201013","32570","Obstbauinspektor | Obstbauinspektorin"
"11201014","61121","Obstbauermeister | Obstbäuerin, Meisterin"
"11201015","61121","Obstbauer, eidg. FA | Obstbäuerin, eidg. FA"
"11201016","61121","Obst- und Rebbauer | Obst- und Rebbäuerin"
"11201017","61121","Obstproduzent | Obstproduzentin"
"11201018","61121","Obstfachmann EFZ | Obstfachfrau EFZ"
"11201019","61121","Obstbaumeister HFP | Obstbaumeisterin HFP"
"11201020","61121","Betriebsleiter Obstbau, eidg. FA | Betriebsleiterin Obstbau, eidg. FA"
"11201021","61121","Obst- und Beerenbauer | Obst- und Beerenbäuerin"
"11202001","61122","Winzer | Winzerin"
"11202002","61122","Weinbauer | Weinbäuerin"
"11202003","61122","Rebbauer-Kellermeister | Rebbäuerin-Kellermeisterin"
"11202004","61122","Rebbauer, Pächter | Rebbäuerin, Pächterin"
"11202005","61122","Rebmeister | Rebmeisterin"
"11202006","92110","Rebbau-Mitarbeiter | Rebbau-Mitarbeiterin"
"11202007","33590","Rebbaukommissär | Rebbaukommissärin"
"11202008","61122","Winzer mit Meisterdiplom HFP | Winzerin mit Meisterdiplom HFP"
"11202009","92110","Rebarbeiter | Rebarbeiterin"
"11202010","61122","Rebbauer | Rebbäuerin"
"11202011","92110","Weinleser | Weinleserin"
"11202012","92110","Weinbaugehilfe | Weinbaugehilfin"
"11202014","61122","Winzer, eidg. FA | Winzerin, eidg. FA"
"11202015","61122","Rebmann | Rebfrau"
"11202016","92110","Rebveredler | Rebveredlerin"
"11202017","61122","Winzer EFZ | Winzerin EFZ"
"11202018","81602","Agrarpraktiker EBA, Weinbereitung | Agrarpraktikerin EBA, Weinbereitung"
"11202019","61122","Winzermeister HFP | Winzermeisterin HFP"
"11202020","61122","Betriebsleiter Weinbau, eidg. FA | Betriebsleiterin Weinbau, eidg. FA"
"11203001","61132","Pilzzüchter | Pilzzüchterin"
"11203002","61110","Gemüsebauer | Gemüsebäuerin"
"11203003","61110","Gemüsebauer mit Meisterdiplom HFP | Gemüsebäuerin mit Meisterdiplom HFP"
"11203004","61132","Tabakpflanzer | Tabakpflanzerin"
"11203005","61110","Spargelzüchter | Spargelzüchterin"
"11203006","92110","Champignonpflücker | Champignonpflückerin"
"11203007","61110","Gemüsegärtner mit Meisterdiplom HFP | Gemüsegärtnerin mit Meisterdiplom HFP"
"11203009","61300","Biobauer | Biobäuerin"
"11203010","61132","Bio-Gärtner | Bio-Gärtnerin"
"11203011","92110","Gemüsebauarbeiter | Gemüsebauarbeiterin"
"11203012","61132","Champignonzüchter | Champignonzüchterin"
"11203013","61110","Gemüsegärtner | Gemüsegärtnerin"
"11203014","61110","Gemüsebauermeister | Gemüsebäuerin, Meisterin"
"11203016","61110","Gemüsegärtnermeister HFP | Gemüsegärtnermeisterin HFP"
"11203017","61121","Obst- und Gemüsebauer | Obst- und Gemüsebäuerin"
"11203018","61121","Obst- und Gemüsegärtner | Obst- und Gemüsegärtnerin"
"11203019","61110","Biogemüsegärtner | Biogemüsegärtnerin"
"11203020","61110","Biogemüsebauer | Biogemüsebäuerin"
"11203021","61110","Gemüseproduzent | Gemüseproduzentin"
"11203022","61110","Gemüsegärtner EFZ | Gemüsegärtnerin EFZ"
"11203023","61110","Hopfenanbauer | Hopfenanbauerin"
"11203024","61110","Betriebsleiter Gemüsebau, eidg. FA | Betriebsleiterin Gemüsebau, eidg. FA"
"11301001","92120","Pferdeknecht | Pferdemagd"
"11301002","61212","Bereiter | Bereiterin"
"11301003","61211","Viehmäster | Viehmästerin"
"11301004","61212","Pferdepfleger | Pferdepflegerin"
"11301005","61211","Stallmeister | Stallmeisterin"
"11301006","61290","Züchter | Züchterin"
"11301007","61211","Rindviehzüchter | Rindviehzüchterin"
"11301008","61212","Pferdewärter | Pferdewärterin"
"11301009","61212","Gestütmeister | Gestütmeisterin"
