Code,Parent,Name_de
"011100","0111","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
"011200","0112","Anbau von Reis"
"011300","0113","Anbau von Gemüse und Melonen sowie Wurzeln und Knollen"
"011400","0114","Anbau von Zuckerrohr"
"011500","0115","Anbau von Tabak"
"011600","0116","Anbau von Faserpflanzen"
"011900","0119","Anbau von sonstigen einjährigen Pflanzen"
"012101","0121","Anbau von Wein- und Tafeltrauben"
"012102","0121","Weinbau - Kellerei"
"012200","0122","Anbau von tropischen und subtropischen Früchten"
"012300","0123","Anbau von Zitrusfrüchten"
"012400","0124","Anbau von Kern- und Steinobst"
"012500","0125","Anbau von sonstigem Obst und Nüssen"
"012600","0126","Anbau von ölhaltigen Früchten"
"012700","0127","Anbau von Pflanzen zur Herstellung von Getränken"
"012800","0128","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
"012900","0129","Anbau sonstiger mehrjähriger Pflanzen"
"013000","0130","Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken"
"014100","0141","Haltung von Milchkühen"
"014200","0142","Haltung von anderen Tieren der Rindergattung"
"014300","0143","Haltung von Tieren der Pferdegattung"
"014400","0144","Haltung von Kameliden"
"014500","0145","Haltung von Schafen und Ziegen"
"014600","0146","Haltung von Schweinen"
"014700","0147","Haltung von Geflügel"
"014900","0149","Sonstige Tierhaltung"
"015000","0150","Gemischte Landwirtschaft"
"016100","0161","Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau"
"016200","0162","Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung"
"016300","0163","Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung"
"016400","0164","Saatgutaufbereitung"
"017000","0170","Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
"021000","0210","Forstwirtschaft"
"022000","0220","Holzeinschlag"
"023000","0230","Sammeln von wild wachsenden Produkten (ohne Holz)"
"024000","0240","Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag"
"031100","0311","Meeresfischerei"
"031200","0312","Süsswasserfischerei"
"032100","0321","Meeresaquakultur"
"032200","0322","Süsswasseraquakultur"
"051000","0510","Steinkohlenbergbau"
"052000","0520","Braunkohlenbergbau"
"061000","0610","Gewinnung von Erdöl"
"062000","0620","Gewinnung von Erdgas"
"071000","0710","Eisenerzbergbau"
"072100","0721","Bergbau von Uran- und Thoriumerze"
"072900","0729","Sonstiger NE-Metallerzbergbau"
"081100","0811","Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer"
"081200","0812","Gewinnung von Kies, Sand, Ton und Kaolin"
"089100","0891","Bergbau auf chemische und Düngemittelminerale"
"089200","0892","Torfgewinnung"
"089300","0893","Gewinnung von Salz"
"089900","0899","Gewinnung von Steinen und Erden a. n. g."
"091000","0910","Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas"
"099000","0990","Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden"
"101100","1011","Schlachten (ohne Schlachten von Geflügel)"
"101200","1012","Schlachten von Geflügel"
"101300","1013","Fleischverarbeitung"
"102000","1020","Fischverarbeitung"
"103100","1031","Kartoffelverarbeitung"
"103200","1032","Herstellung von Frucht- und Gemüsesäften"
"103900","1039","Sonstige Verarbeitung von Obst und Gemüse"
"104100","1041","Herstellung von Ölen und Fetten (ohne Margarine u. ä. Nahrungsfette)"
"104200","1042","Herstellung von Margarine u. ä. Nahrungsfetten"
"105101","1051","Herstellung von Frischmilchprodukten"
"105102","1051","Herstellung von Käse"
"105103","1051","Sonstige Milchverarbeitung"
"105200","1052","Herstellung von Speiseeis"
"106100","1061","Mahl- und Schälmühlen"
"106200","1062","Herstellung von Stärke und Stärkeerzeugnissen"
"107100","1071","Herstellung von Backwaren (ohne Dauerbackwaren)"
"107200","1072","Herstellung von Dauerbackwaren"
"107300","1073","Herstellung von Teigwaren"
"108100","1081","Herstellung von Zucker"
"108201","1082","Herstellung von Kakao- und Schokoladeerzeugnissen"
"108202","1082","Herstellung von Zuckerwaren"
"108300","1083","Verarbeitung von Kaffee und Tee, Herstellung von Kaffee-Ersatz"
"108400","1084","Herstellung von Würzmitteln und Saucen"
"108500","1085","Herstellung von Fertiggerichten"
"108600","1086","Herstellung von homogenisierten und diätetischen Nahrungsmitteln"
"108900","1089","Herstellung von sonstigen Nahrungsmitteln a. n. g."
"109100","1091","Herstellung von Futtermitteln für Nutztiere"
"109200","1092","Herstellung von Futtermitteln für sonstige Tiere"
"110100","1101","Herstellung von Spirituosen"
"110200","1102","Herstellung von Traubenwein"
"110300","1103","Herstellung von Apfelwein und anderen Fruchtweinen"
"110400","1104","Herstellung von Wermutwein und sonstigen aromatisierten Weinen"
"110500","1105","Herstellung von Bier"
"110600","1106","Herstellung von Malz"
"110700","1107","Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer"
"120000","1200","Tabakverarbeitung"
"131001","1310","Baumwollaufbereitung und -spinnerei"
"131002","1310","Wollaufbereitung, Streichgarnspinnerei und Kammgarnspinnerei"
"131003","1310","Spinnstoffaufbereitung und Spinnerei"
