neighborhood	ID	page	old_streetname	old_number	old_letter	new_number	new_letter	new_streetname	PDF Page	Remarks
Rothes Quartier	1	1	Speichergasse	1	a	2		Speichergasse	8	
Rothes Quartier	2	1	Speichergasse	2		2	a	Speichergasse	8	
Rothes Quartier	3	1	Speichergasse	3	a	2	b	Speichergasse	8	
Rothes Quartier	4	1	Speichergasse	3	b	2	c	Speichergasse	8	
Rothes Quartier	5	1	Speichergasse	4	a	4		Speichergasse	8	
Rothes Quartier	6	1	Speichergasse	4	b	4	a	Speichergasse	8	
Rothes Quartier	7	1	Speichergasse	4	c	4	b	Speichergasse	8	
Rothes Quartier	8	1	Speichergasse	5	c	12		Speichergasse	8	
Rothes Quartier	9	1	Speichergasse	5	c	14		Speichergasse	8	
Rothes Quartier	10	1	Speichergasse	5	a	16		Speichergasse	8	
Rothes Quartier	11	1	Speichergasse	5	d	5		Speichergasse	8	
Rothes Quartier	12	1	Speichergasse	6	a	5		Speichergasse	8	
Rothes Quartier	13	1	Speichergasse	6	b	7		Speichergasse	8	
Rothes Quartier	14	1	Speichergasse	6	b	9		Speichergasse	8	
Rothes Quartier	15	1	Speichergasse	6	c	11		Speichergasse	8	
Rothes Quartier	16	1	Speichergasse	6	d	13		Speichergasse	8	
Rothes Quartier	17	1	Speichergasse	6	e	13		Speichergasse	8	
Rothes Quartier	18	1	Speichergasse	6	f	15		Speichergasse	8	
Rothes Quartier	19	1	Speichergasse	6	h	19		Speichergasse	8	
Rothes Quartier	20	1	Speichergasse	6	i	21		Speichergasse	8	
Rothes Quartier	21	1	Speichergasse	6	k	23		Speichergasse	8	
Rothes Quartier	22	1	Speichergasse	6	k	29		Speichergasse	8	
Rothes Quartier	23	1	Speichergasse	6	l	31		Speichergasse	8	
Rothes Quartier	24	1	Speichergasse	6	m	33		Speichergasse	8	
Rothes Quartier	25	1	Speichergasse	6	n	35		Speichergasse	8	
Rothes Quartier	26	1	Speichergasse	6	o	35	a	Speichergasse	8	
Rothes Quartier	27	1	Speichergasse	7	a	37		Speichergasse	8	
Rothes Quartier	28	1	Speichergasse	7	b	37	a	Speichergasse	8	
Rothes Quartier	29	1	Speichergasse	8	a	39		Speichergasse	8	
Rothes Quartier	30	1	Speichergasse	9	a	41		Speichergasse	8	
Rothes Quartier	31	1	Speichergasse	9	b	43		Speichergasse	8	
Rothes Quartier	32	1	Anatomiegässchen	10	a	11		Anatomiegasse	8	
Rothes Quartier	33	1	Anatomiegässchen	10	b	9		Anatomiegasse	8	
Rothes Quartier	34	1	Anatomiegässchen	11	a	7		Anatomiegasse	8	
Rothes Quartier	35	1	Anatomiegässchen	11	b	7	a	Anatomiegasse	8	
Rothes Quartier	36	1	Anatomiegässchen	12		5		Anatomiegasse	8	
Rothes Quartier	37	1	Anatomiegässchen	13		3		Anatomiegasse	8	
Rothes Quartier	38	1	Anatomiegässchen	14		1		Anatomiegasse	8	
Rothes Quartier	39	1	Anatomiegässchen	14		66		Aarbergergasse	8	
Rothes Quartier	40	1	Aarbergergasse	15	a	64		Aarbergergasse	8	
Rothes Quartier	41	1	Aarbergergasse	15	b	64	a	Aarbergergasse	8	
Rothes Quartier	42	1	Aarbergergasse	16	a	62		Aarbergergasse	8	
Rothes Quartier	43	1	Aarbergergasse	16	b	62	a	Aarbergergasse	8	
Rothes Quartier	44	1	Aarbergergasse	17	a	60		Aarbergergasse	8	
Rothes Quartier	45	1	Aarbergergasse	17	b	60	a	Aarbergergasse	8	
Rothes Quartier	46	1	Aarbergergasse	18	a	58		Aarbergergasse	8	
Rothes Quartier	47	1	Aarbergergasse	18	b	58	a	Aarbergergasse	8	
Rothes Quartier	48	1	Aarbergergasse	19	a	56		Aarbergergasse	8	
Rothes Quartier	49	1	Aarbergergasse	19	b	56	a	Aarbergergasse	8	
Rothes Quartier	50	1	Aarbergergasse	20		54		Aarbergergasse	8	
Rothes Quartier	51	1	Aarbergergasse	21		52		Aarbergergasse	8	
Rothes Quartier	52	1	Aarbergergasse	22		50		Aarbergergasse	8	
Rothes Quartier	53	1	Aarbergergasse	23		48		Aarbergergasse	8	
Rothes Quartier	54	1	Aarbergergasse	24		46		Aarbergergasse	8	
Rothes Quartier	55	1	Aarbergergasse	25	a	46	a	Aarbergergasse	8	
Rothes Quartier	56	1	Aarbergergasse	25	b	46	a	Aarbergergasse	8	
Rothes Quartier	57	1	Aarbergergasse	26		44		Aarbergergasse	8	
Rothes Quartier	58	1	Aarbergergasse	27		42		Aarbergergasse	8	
Rothes Quartier	59	1	Aarbergergasse	28		42		Aarbergergasse	8	
Rothes Quartier	60	1	Aarbergergasse	29		40		Aarbergergasse	8	
Rothes Quartier	61	1	Aarbergergasse	30	a	38		Aarbergergasse	8	
Rothes Quartier	62	1	Aarbergergasse	30	b	38	a	Aarbergergasse	8	
Rothes Quartier	63	1	Aarbergergasse	31	a	36		Aarbergergasse	8	
Rothes Quartier	64	1	Aarbergergasse	31	b	36	a	Aarbergergasse	8	
Rothes Quartier	65	1	Aarbergergasse	32		34		Aarbergergasse	8	
Rothes Quartier	66	1	Aarbergergasse	33	a	32		Aarbergergasse	8	
Rothes Quartier	67	1	Aarbergergasse	34	a	30		Aarbergergasse	8	
Rothes Quartier	68	1	Aarbergergasse	34	b	4		Sternengässchen	8	
Rothes Quartier	69	1	Aarbergergasse	34	c	27		Speichergasse	8	
Rothes Quartier	70	1	Aarbergergasse	35	a	28		Aarbergergasse	8	
Rothes Quartier	71	1	Aarbergergasse	35	b	25		Speichergasse	8	
Rothes Quartier	72	1	Aarbergergasse	35	b	3		Sternengässchen	8	
Rothes Quartier	73	1	Aarbergergasse	36	a	26		Aarbergergasse	8	
Rothes Quartier	74	1	Aarbergergasse	36	b	26	a	Aarbergergasse	8	
Rothes Quartier	75	1	Aarbergergasse	37		24		Aarbergergasse	8	
Rothes Quartier	76	1	Aarbergergasse	38		22		Aarbergergasse	8	
Rothes Quartier	77	1	Aarbergergasse	39		20		Aarbergergasse	8	
Rothes Quartier	78	1	Aarbergergasse	40		18		Aarbergergasse	8	
Rothes Quartier	79	1	Aarbergergasse	41		16		Aarbergergasse	8	
Rothes Quartier	80	1	Aarbergergasse	42		14		Aarbergergasse	8	
Rothes Quartier	81	1	Aarbergergasse	43		12		Aarbergergasse	8	
Rothes Quartier	82	1	Aarbergergasse	44	a	10		Aarbergergasse	8	
Rothes Quartier	83	1	Aarbergergasse	44	b	10	a	Aarbergergasse	8	
Rothes Quartier	84	1	Aarbergergasse	45		8		Aarbergergasse	8	
Rothes Quartier	85	1	Aarbergergasse	46		6		Aarbergergasse	8	
Rothes Quartier	86	1	Aarbergergasse	47		4		Aarbergergasse	8	
Rothes Quartier	87	1	Aarbergergasse	48		2		Aarbergergasse	8	
Rothes Quartier	88	1	Aarbergergasse	48		26		Waisenhausplatz	8	
Rothes Quartier	89	1	Aarbergergasse	49		1		Aarbergergasse	8	
Rothes Quartier	90	1	Aarbergergasse	49		24		Waisenhausplatz	8	
Rothes Quartier	91	1	Aarbergergasse	50		3		Aarbergergasse	8	
Rothes Quartier	92	1	Aarbergergasse	51	a	5		Aarbergergasse	8	
Rothes Quartier	93	1	Aarbergergasse	51	b	5	a	Aarbergergasse	8	
Rothes Quartier	94	1	Aarbergergasse	52		7		Aarbergergasse	8	
Rothes Quartier	95	1	Aarbergergasse	53	a	9		Aarbergergasse	8	
Rothes Quartier	96	1	Aarbergergasse	53	b	9	a	Aarbergergasse	8	
Rothes Quartier	97	1	Aarbergergasse	54		11		Aarbergergasse	8	
Rothes Quartier	98	1	Aarbergergasse	55		13		Aarbergergasse	8	
Rothes Quartier	99	1	Aarbergergasse	56	a	15		Aarbergergasse	8	
Rothes Quartier	100	2	Aarbergergasse	56	b	15	a	Aarbergergasse	9	
Rothes Quartier	101	2	Aarbergergasse	57		17		Aarbergergasse	9	
Rothes Quartier	102	2	Aarbergergasse	58		19		Aarbergergasse	9	
Rothes Quartier	103	2	Aarbergergasse	59		21		Aarbergergasse	9	
Rothes Quartier	104	2	Aarbergergasse	59		21	a	Aarbergergasse	9	
Rothes Quartier	105	2	Aarbergergasse	60		23		Aarbergergasse	9	
Rothes Quartier	106	2	Aarbergergasse	61		25		Aarbergergasse	9	
Rothes Quartier	107	2	Aarbergergasse	62	a	27		Aarbergergasse	9	
Rothes Quartier	108	2	Aarbergergasse	62	b	27	a	Aarbergergasse	9	
Rothes Quartier	109	2	Aarbergergasse	63		29		Aarbergergasse	9	
Rothes Quartier	110	2	Aarbergergasse	64		31		Aarbergergasse	9	
Rothes Quartier	111	2	Aarbergergasse	65		33		Aarbergergasse	9	
Rothes Quartier	112	2	Aarbergergasse	66	a	35		Aarbergergasse	9	
Rothes Quartier	113	2	Aarbergergasse	66	b	35	a	Aarbergergasse	9	
Rothes Quartier	114	2	Aarbergergasse	66	c	35	b	Aarbergergasse	9	
Rothes Quartier	115	2	Aarbergergasse	67		37		Aarbergergasse	9	
Rothes Quartier	116	2	Aarbergergasse	67		15		Ryffligässchen	9	
Rothes Quartier	117	2	Aarbergergasse	68		39		Aarbergergasse	9	
Rothes Quartier	118	2	Aarbergergasse	68		16		Ryffligässchen	9	
Rothes Quartier	119	2	Aarbergergasse	68	b	13		Ryffligässchen	9	
Rothes Quartier	120	2	Aarbergergasse	70	a	43		Aarbergergasse	9	
Rothes Quartier	121	2	Aarbergergasse	70	b	43	a	Aarbergergasse	9	
Rothes Quartier	122	2	Aarbergergasse	71	a	45		Aarbergergasse	9	
Rothes Quartier	123	2	Aarbergergasse	71	b	45	a	Aarbergergasse	9	
Rothes Quartier	124	2	Aarbergergasse	72	a	47		Aarbergergasse	9	
Rothes Quartier	125	2	Aarbergergasse	72	b	47	a	Aarbergergasse	9	
Rothes Quartier	126	2	Aarbergergasse	73	a	49		Aarbergergasse	9	
Rothes Quartier	127	2	Aarbergergasse	73	b	49	a	Aarbergergasse	9	
Rothes Quartier	128	2	Aarbergergasse	74	a	51		Aarbergergasse	9	
Rothes Quartier	129	2	Aarbergergasse	74	b	51	a	Aarbergergasse	9	
Rothes Quartier	130	2	Aarbergergasse	75		51	a	Aarbergergasse	9	
Rothes Quartier	131	2	Aarbergergasse	76		55		Aarbergergasse	9	
Rothes Quartier	132	2	Aarbergergasse	77		55		Aarbergergasse	9	
Rothes Quartier	133	2	Aarbergergasse	78		57		Aarbergergasse	9	
Rothes Quartier	134	2	Aarbergergasse	78		7		Inneres Bollwerk	9	
Rothes Quartier	135	2	Inneres Bollwerk	79		12		Inneres Bollwerk	9	
Rothes Quartier	136	2	Inneres Bollwerk	79		59		Aarbergergasse	9	
Rothes Quartier	137	2	Inneres Bollwerk	80		10		Inneres Bollwerk	9	
Rothes Quartier	138	2	Inneres Bollwerk	81		8		Inneres Bollwerk	9	
Rothes Quartier	139	2	Inneres Bollwerk	82	a	6		Inneres Bollwerk	9	
Rothes Quartier	140	2	Inneres Bollwerk	82	b	2		Inneres Bollwerk	9	
Rothes Quartier	141	2	Inneres Bollwerk	82	b	42		Neuengasse	9	
Rothes Quartier	142	2	Inneres Bollwerk	83	a	5		Inneres Bollwerk	9	
Rothes Quartier	143	2	Inneres Bollwerk	83	b	3		Inneres Bollwerk	9	
Rothes Quartier	144	2	Inneres Bollwerk	83	b	38		Neuengasse	9	
Rothes Quartier	145	2	Inneres Bollwerk	84		1		Inneres Bollwerk	9	
Rothes Quartier	146	2	Inneres Bollwerk	84		40		Neuengasse	9	
Rothes Quartier	147	2	Neuengasse	85		38		Neuengasse	9	
Rothes Quartier	148	2	Neuengasse	86		36		Neuengasse	9	
Rothes Quartier	149	2	Neuengasse	87	a	30		Neuengasse	9	
Rothes Quartier	150	2	Neuengasse	87	b	32		Neuengasse	9	
Rothes Quartier	151	2	Neuengasse	87	c	28	a	Neuengasse	9	
Rothes Quartier	152	2	Neuengasse	87	c	14		Ryffligässchen	9	
Rothes Quartier	153	2	Neuengasse	87	d	26		Neuengasse	9	
Rothes Quartier	154	2	Neuengasse	87	d	12		Ryffligässchen	9	
Rothes Quartier	155	2	Neuengasse	88	a	24		Neuengasse	9	
Rothes Quartier	156	2	Neuengasse	88	a	9		Ryffligässchen	9	
Rothes Quartier	157	2	Neuengasse	89		22		Neuengasse	9	
Rothes Quartier	158	2	Neuengasse	90		20		Neuengasse	9	
Rothes Quartier	159	2	Neuengasse	91		18		Neuengasse	9	
Rothes Quartier	160	2	Neuengasse	92		18		Neuengasse	9	
Rothes Quartier	161	2	Neuengasse	93		16		Neuengasse	9	
Rothes Quartier	162	2	Neuengasse	94		14		Neuengasse	9	
Rothes Quartier	163	2	Neuengasse	95		12		Neuengasse	9	
Rothes Quartier	164	2	Neuengasse	96		10		Neuengasse	9	
Rothes Quartier	165	2	Neuengasse	97		8		Neuengasse	9	
Rothes Quartier	166	2	Neuengasse	98		6		Neuengasse	9	
Rothes Quartier	167	2	Neuengasse	99		4		Neuengasse	9	
Rothes Quartier	168	2	Neuengasse	100		2		Neuengasse	9	
Rothes Quartier	169	2	Neuengasse	100		10		Waisenhausplatz	9	
Rothes Quartier	170	2	Neuengasse	101		1		Neuengasse	9	
Rothes Quartier	171	2	Neuengasse	101		8		Waisenhausplatz	9	
Rothes Quartier	172	2	Neuengasse	102	a	3		Neuengasse	9	
Rothes Quartier	173	2	Neuengasse	102	b	5		Neuengasse	9	
Rothes Quartier	174	2	Neuengasse	103		7		Neuengasse	9	
Rothes Quartier	175	2	Neuengasse	104		7		Neuengasse	9	
Rothes Quartier	176	2	Neuengasse	105		9		Neuengasse	9	
Rothes Quartier	177	2	Neuengasse	106		9		Neuengasse	9	
Rothes Quartier	178	2	Neuengasse	107		11		Neuengasse	9	
Rothes Quartier	179	2	Neuengasse	108		13		Neuengasse	9	
Rothes Quartier	180	2	Neuengasse	109		13		Neuengasse	9	
Rothes Quartier	181	2	Neuengasse	110		15		Neuengasse	9	
Rothes Quartier	182	2	Neuengasse	111		17		Neuengasse	9	
Rothes Quartier	183	2	Neuengasse	112		19		Neuengasse	9	
Rothes Quartier	184	2	Neuengasse	113	a	21		Neuengasse	9	
Rothes Quartier	185	2	Neuengasse	113	b	23		Neuengasse	9	
Rothes Quartier	186	2	Neuengasse	113	c	5		Neuengasse	9	
Rothes Quartier	187	2	Neuengasse	114		6		Neuengasse	9	
Rothes Quartier	188	2	Neuengasse	114		6	a	Ryffligässchen	9	
Rothes Quartier	189	2	Neuengasse	115	a	27		Neuengasse	9	
Rothes Quartier	190	2	Neuengasse	115	a	8		Ryffligässchen	9	
Rothes Quartier	191	2	Neuengasse	115	b	8	a	Ryffligässchen	9	
Rothes Quartier	192	2	Neuengasse	116	a	25		Neuengasse	9	
Rothes Quartier	193	2	Neuengasse	116	b	27		Neuengasse	9	
Rothes Quartier	194	2	Neuengasse	116	c	29		Neuengasse	9	
Rothes Quartier	195	2	Neuengasse	117	a	31		Neuengasse	9	
Rothes Quartier	196	2	Neuengasse	117	b	31	a	Neuengasse	9	
Rothes Quartier	197	2	Neuengasse	118		33		Neuengasse	9	
Rothes Quartier	198	2	Neuengasse	119	a	35		Neuengasse	9	
Rothes Quartier	199	2	Neuengasse	119	b	35	a	Neuengasse	9	
Rothes Quartier	200	2	Neuengasse	120	a	37		Neuengasse	9	
Rothes Quartier	201	2	Neuengasse	121	a	39		Neuengasse	9	
Rothes Quartier	202	2	Neuengasse	121	a	39	a	Neuengasse	9	
Rothes Quartier	203	2	Neuengasse	121	b	41		Neuengasse	9	
Rothes Quartier	204	2	Neuengasse	122	a	43		Neuengasse	9	
Rothes Quartier	205	2	Neuengasse	122	b	45		Neuengasse	9	
Rothes Quartier	206	2	Aeusseres Bollwerk	122	c	11		Aeusseres Bollwerk	9	
Rothes Quartier	207	2	Aeusseres Bollwerk	122	c	47		Neuengasse	9	
Rothes Quartier	208	2	Aeusseres Bollwerk	122	d	11	a	Aeusseres Bollwerk	9	
Rothes Quartier	209	2	Aeusseres Bollwerk	122	e	9		Aeusseres Bollwerk	9	
Rothes Quartier	210	2	Aeusseres Bollwerk	122	f	5		Aeusseres Bollwerk	9	
Rothes Quartier	211	2	Aeusseres Bollwerk	122	g	11	b	Aeusseres Bollwerk	9	
Rothes Quartier	212	2	Aeusseres Bollwerk	123	a	1		Aeusseres Bollwerk	9	
Rothes Quartier	213	2	Aeusseres Bollwerk	123	b	3		Aeusseres Bollwerk	9	
Rothes Quartier	214	2	Aeusseres Bollwerk	123	b	42		Spitalgasse	9	
Rothes Quartier	215	3	Spitalgasse	124	a	40		Spitalgasse	9	
Rothes Quartier	216	3	Spitalgasse	124	b	7		Aeusseres Bollwerk	9	
Rothes Quartier	217	3	Spitalgasse	125	a	38		Spitalgasse	9	
Rothes Quartier	218	3	Spitalgasse	125	b	38	a	Spitalgasse	9	
Rothes Quartier	219	3	Spitalgasse	126	a	36		Spitalgasse	9	
Rothes Quartier	220	3	Spitalgasse	126	b	36	a	Spitalgasse	9	
Rothes Quartier	221	3	Spitalgasse	127		34		Spitalgasse	9	
Rothes Quartier	222	3	Spitalgasse	128		32		Spitalgasse	9	
Rothes Quartier	223	3	Spitalgasse	129		30		Spitalgasse	9	
Rothes Quartier	224	3	Spitalgasse	130		28		Spitalgasse	9	
Rothes Quartier	225	3	Spitalgasse	131		26		Spitalgasse	9	
Rothes Quartier	226	3	Spitalgasse	132		24		Spitalgasse	9	
Rothes Quartier	227	3	Spitalgasse	133		22		Spitalgasse	9	
Rothes Quartier	228	3	Spitalgasse	134		20		Spitalgasse	9	
Rothes Quartier	229	3	Spitalgasse	135		18		Spitalgasse	9	
Rothes Quartier	230	3	Spitalgasse	136	a	16		Spitalgasse	9	
Rothes Quartier	231	3	Spitalgasse	136	b	16	a	Spitalgasse	9	
Rothes Quartier	232	3	Spitalgasse	137		14		Spitalgasse	9	
Rothes Quartier	233	3	Spitalgasse	138		14		Spitalgasse	9	
Rothes Quartier	234	3	Spitalgasse	139		12		Spitalgasse	9	
Rothes Quartier	235	3	Spitalgasse	140		10		Spitalgasse	9	
Rothes Quartier	236	3	Spitalgasse	141		10		Spitalgasse	9	
Rothes Quartier	237	3	Spitalgasse	142		8		Spitalgasse	9	
Rothes Quartier	238	3	Spitalgasse	143		6		Spitalgasse	9	
Rothes Quartier	239	3	Spitalgasse	144		4		Spitalgasse	9	
Rothes Quartier	240	3	Spitalgasse	145		4		Spitalgasse	9	
Rothes Quartier	241	3	Spitalgasse	146		1		Spitalgasse	9	
Rothes Quartier	242	3	Spitalgasse	147		1		Spitalgasse	9	
Rothes Quartier	243	3	Spitalgasse	146		2		Bärenplatz	9	
Rothes Quartier	244	3	Spitalgasse	147		2		Bärenplatz	9	
Rothes Quartier	245	3	Spitalgasse	148		3		Spitalgasse	9	
Rothes Quartier	246	3	Spitalgasse	149	a	5		Spitalgasse	9	
Rothes Quartier	247	3	Spitalgasse	149	b	5	a	Spitalgasse	9	
Rothes Quartier	248	3	Spitalgasse	150	a	7		Spitalgasse	9	
Rothes Quartier	249	3	Spitalgasse	150	b	7	a	Spitalgasse	9	
Rothes Quartier	250	3	Spitalgasse	151	a	9		Spitalgasse	9	
Rothes Quartier	251	3	Spitalgasse	151	b	9	a	Spitalgasse	9	
Rothes Quartier	252	3	Spitalgasse	152	a	11		Spitalgasse	9	
Rothes Quartier	253	3	Spitalgasse	152	b	11	a	Spitalgasse	9	
Rothes Quartier	254	3	Spitalgasse	153	a	13		Spitalgasse	9	
Rothes Quartier	255	3	Spitalgasse	153	b	13	a	Spitalgasse	9	
Rothes Quartier	256	3	Spitalgasse	154	a	15		Spitalgasse	9	
Rothes Quartier	257	3	Spitalgasse	154	b	8		Schauplatzgasse	9	
Rothes Quartier	258	3	Spitalgasse	155	a	17		Spitalgasse	9	
Rothes Quartier	259	3	Spitalgasse	156	a	19		Spitalgasse	10	
Rothes Quartier	260	3	Spitalgasse	157	a	21		Spitalgasse	10	
Rothes Quartier	261	3	Spitalgasse	157	b	21	a	Spitalgasse	10	
Rothes Quartier	262	3	Spitalgasse	158		23		Spitalgasse	10	
Rothes Quartier	263	3	Spitalgasse	159		25		Spitalgasse	10	
Rothes Quartier	264	3	Spitalgasse	159		3		Storchengchn.	10	
Rothes Quartier	265	3	Spitalgasse	160		27		Spitalgasse	10	
Rothes Quartier	266	3	Spitalgasse	160		2		Storchengchn.	10	
Rothes Quartier	267	3	Spitalgasse	161		29		Spitalgasse	10	
Rothes Quartier	268	3	Spitalgasse	162		31		Spitalgasse	10	
Rothes Quartier	269	3	Spitalgasse	163	a	31	a	Spitalgasse	10	
Rothes Quartier	270	3	Spitalgasse	163	b	31	a	Spitalgasse	10	
Rothes Quartier	271	3	Spitalgasse	164	a	33		Spitalgasse	10	
Rothes Quartier	272	3	Spitalgasse	164	b	24		Schauplatzgasse	10	
Rothes Quartier	273	3	Spitalgasse	165		35		Spitalgasse	10	
Rothes Quartier	274	3	Spitalgasse	166		37		Spitalgasse	10	
Rothes Quartier	275	3	Spitalgasse	167		37		Spitalgasse	10	
Rothes Quartier	276	3	Spitalgasse	168		39		Spitalgasse	10	
Rothes Quartier	277	3	Spitalgasse	169		41		Spitalgasse	10	
Rothes Quartier	278	3	Spitalgasse	170		43		Spitalgasse	10	
Rothes Quartier	279	3	Spitalgasse	171		43		Spitalgasse	10	
Rothes Quartier	280	3	Spitalgasse	172		45		Spitalgasse	10	
Rothes Quartier	281	3	Spitalgasse	173	a	47		Spitalgasse	10	
Rothes Quartier	282	3	Spitalgasse	173	b	36		Schauplatzgasse	10	
Rothes Quartier	283	3	Spitalgasse	174	a	49		Spitalgasse	10	
Rothes Quartier	284	3	Spitalgasse	174	b	38		Schauplatzgasse	10	
Rothes Quartier	285	3	Spitalgasse	175	a	51		Spitalgasse	10	
Rothes Quartier	286	3	Spitalgasse	175	b	40		Schauplatzgasse	10	
Rothes Quartier	287	3	Spitalgasse	176	a	53		Spitalgasse	10	
Rothes Quartier	288	3	Spitalgasse	176	b	42		Schauplatzgasse	10	
Rothes Quartier	289	3	Spitalgasse	177	a	55		Spitalgasse	10	
Rothes Quartier	290	3	Spitalgasse	177	b	44		Schauplatzgasse	10	
Rothes Quartier	291	3	Spitalgasse	178		57		Spitalgasse	10	
Rothes Quartier	292	3	Spitalgasse	178		1		Christoffelplatz	10	
Rothes Quartier	293	3	Christoffelgasse	179	a	3		Christoffelplatz	10	
Rothes Quartier	294	3	Christoffelgasse	179	a	2		Christoffelgasse	10	
Rothes Quartier	295	3	Christoffelgasse	179	b	4		Christoffelgasse	10	
Rothes Quartier	296	3	Christoffelgasse	179	b	2		Bankgässchen	10	
Rothes Quartier	297	3	Zwischen d. Thoren	180	a	11		Christoffelplatz	10	
Rothes Quartier	298	3	Zwischen d. Thoren	180	b	11	a	Christoffelplatz	10	
Rothes Quartier	299	3	Zwischen d. Thoren	181	a	9		Christoffelplatz	10	
Rothes Quartier	300	3	Zwischen d. Thoren	181	b	9	a	Christoffelplatz	10	
Rothes Quartier	301	3	Zwischen d. Thoren	182		7		Christoffelplatz	10	
