Abbreviation,Street
Aeusseres Bollwerk,Äusseres Bollwerk
Alt. Aargauerst.,Alter Aargauerstalden
Amthausgchn.,Amthausgässchen
B. d. Schutzmühle,Bei der Schutzmühle
B. Zeitglockenth.,Bim Zytglogge
Besenscheuerw.,Besenscheuerweg
Bibliothekgchn.,Bibliotheksgässchen
Breitenrainstr.,Breitenrainstrasse
Bremgartenstr.,Bremgartenstrasse
Brunnmattstr.,Brunnmattstrasse
Brückfeldstr.,Brückfeldstrasse
Freiburgerstr.,Freiburgstrasse
Gerechtigkeitsg.,Gerechtigkeitsgasse
Gesellschaftsstr.,Gesellschaftsstrasse
Graben-Prom.,Grabenpromenade
Gryphenhübeliw.,Gryphenhübeliweg
Kl. Muristalden,Kleiner Muristalden
Mattenhofstr.,Mattenhofstrasse
Ob. Grchtgchn.,Oberes Gerechtigkeitsgässchen
Ob. Haspelweg,Oberer Haspelweg
Ostermundigenstr.,Ostermundigenstrasse
Papiermühlestr.,Papiermühlestrasse
Rabbenthalstr.,Rabbenthalstrasse
Reichenbachstr.,Reichenbachstrasse
Schaalgchn.,Schaalgässchen
Schlossergchn.,Schlossergässchen
Schwarzthorstr.,Schwarztorstrasse
Schützengchen.,Schützengässchen
Schützenmattstr.,Schützenmattstrasse
Sonnenbergstr.,Sonnenbergstrasse
Spitalackerstr.,Spitalackerstrasse
Statthaltergchn.,Statthaltergässchen
Sternwartenstr.,Sternwartenstrasse
Storchengchn.,Storchengässchen
Thormannmätteliw.,Thormannmätteliweg
Unt. Grchtgchn.,Unteres Gerechtigkeitsgässchen
Waisenhausstr.,Waisenhausstrasse
Wasserwerkstr.,Wasserwerkstrasse
Weissenbühlw.,Weissenbühlweg
Weissensteinstr.,Weissensteinstrasse
Worblaufenstr.,Worblaufenstrasse
Zwiebelngchn.,Zwiebelngässchen
Zwischen d. Thoren,Zwischen den Thoren
