Name,Gender
A.,
Aaron,M
Abr.,
Abrah.,M
Abraham,M
Abrh.,M
Achille,M
Ad.,
Ada,F
Adalbert,M
Adam,M
Adelaide,F
Adele,F
Adelh.,F
Adelheid,F
Adf.,
Adolf,M
Adolfo,M
Adolph,M
Adolphe,M
Adr.,
Adrian,M
Adrien,M
Aemilian,M
Agatha,F
Agathe,F
Agnes,F
Al.,
Alb.,
Albert,M
Albert.,
Albertine,F
Alberto,M
Albin,M
Albr.,M
Albrecht,M
Alcide,
Aldo,M
Alessandro,M
Alex,
Alex.,
Alexand.,
Alexander,M
Alexis,
Alf.,
Alfons,M
Alfonso,M
Alfr.,M
Alfred,M
Alfredo,M
Alfs.,
Alice,F
Aline,F
Alma,F
Alois,M
Aloys,M
Alph.,
Alphons,M
Alphonse,
Alwina,F
Alwine,F
Amalia,F
Amalie,F
Ambr.,
Ambrosius,M
Ami,
Anatol,
Anatol.,M
Anatole,M
And.,
Andr.,
Andrea,
Andreas,M
André,M
Angelo,M
Anna,F
Anne,F
Annemarie,F
Annie,F
Anny,F
Ant.,
Antoine,M
Antoinette,F
Anton,M
Antonio,M
Ariste,
Arm.,
Armand,M
Armando,M
Armin,M
Arn.,
Arnold,M
Arnoldo,M
Arrigo,M
Art.,
Arth.,
Arthur,M
Arturo,M
Attilio,M
Aug.,
August,M
Augusta,F
Auguste,
Augustine,F
B.,
Bab.,
Balth.,M
Bapt.,
Barb.,F
Barbara,F
Bartholomäus,M
Battista,M
Beat,M
Beatrice,F
Bend.,
Bendicht,M
Benedikt,M
Benj.,M
Benjamin,M
Berchth.,M
Berchthold,M
Bernard,M
Bernh.,
Bernhard,M
Berta,F
Bertha,F
Berthe,F
Bethli,F
Betty,F
Bh.,
Blanche,F
Blasius,M
Br.,
Brnh.,
Bruno,M
C.,
Camille,
Car.,
Carl,M
Carlo,M
Carmen,F
Carol.,
Carolina,F
Caroline,F
Casp.,
Caspar,M
Cath.,F
Cec.,
Cecile,F
Cecilie,F
Cesar,M
Ch.,
Charl.,
Charles,
Charlotte,F
Chls.,
Chr.,
Christ.,
Christian,M
Christina,F
Christine,F
Christoph,M
Chs.,
Cl.,
Claire,F
Clara,F
Claude,
Claudine,F
Clement,M
Clément,M
Cnst.,
Conrad,M
Const.,
Constantin,M
Costantino,M
Curt,M
Cäsar,M
Céc.,
Cécile,F
D.,
Dan.,
Daniel,M
Dav.,
David,M
Delfina,F
Delph.,
Denise,F
Dl.,
Domin.,
Dominik,M
Dora,F
Doris,F
Doroth.,F
Dorothea,F
E.,
Eberhard,M
Ed.,
Edgar,M
Edith,F
Edm.,
Edmond,M
Edmund,M
Edoardo,M
Edouard,M
Eduard,M
Edw.,
Edwin,M
Edy,M
Egmont,M
El.,
Eleonore,F
Eliane,F
Elie,F
Elio,M
Elis.,F
Elisa,F
Elisab.,F
Elisabeth,F
Elisabetha,F
Elisb.,F
Elise,F
Ella,F
Elly,F
Elsa,F
Elsbeth,F
Else,F
Elsy,F
Elvezio,M
Elvira,F
Em.,
Eman.,M
Emanuel,M
Emil,M
Emile,F
Emilia,F
Emilie,F
Emilio,M
Eml.,
Emma,F
Emmy,F
Enrichetta,F
Enrico,M
Erh.,
Eric,M
Erica,F
Erich,M
Erika,F
Erna,F
Ernest,M
Ernesta,F
Ernesto,M
Ernst,M
Erw.,
Erwin,M
Ester,F
Esther,F
Ettore,M
Eug.,
Eugen,M
Eugenie,F
Eugène,
Eugénie,F
Euphros.,
Eust.,
Eva,F
Eveline,F
Ewald,M
F.,
Fab.,
Fabr.,
Fanny,F
Fd.,
Fel.,
Felix,M
Ferd.,
Ferdinand,M
Fernand,M
Fernande,F
Fidel,M
Fl.,
Flora,F
Florian,M
Florindo,M
Fr.,
Francesco,M
Francis,M
Franco,M
Franz,M
Franz.,
Franziska,F
François,M
Frd.,
Frdr.,
Fred,M
Fred.,
Fredy,M
Fri.,
Frid.,
Frida,F
Fridol.,
Fridolin,M
Fridr.,
Fried.,
Frieda,F
Friederike,F
Friedr.,M
Friedrich,M
Fritz,M
Frz.,
Fréd.,
Frédéric,M
Fz.,
G.,
Gabr.,
Gabriel,M
Gabrielle,F
Gallus,M
Gaston,M
Georg,M
George,
Georges,M
Georgette,F
Gerald,M
Gerda,F
Gerhard,M
Germaine,F
Gerold,M
Gertr.,F
Gertrud,F
Gg.,
Giacomo,M
Gid.,
Gilb.,
Gilbert,M
Gilg.,
Gilgian,
Giorgio,M
Giov.,
Giovanni,M
Giulia,F
Giuliano,M
Giulio,M
Gius.,
Giuseppe,M
Giuseppina,F
Gottf.,M
Gottfr.,M
Gottfried,M
Gotth.,M
Gotthard,M
Gotthold,M
Gottl.,M
Gottlieb,M
Gr.,
Gregor,M
Grety,F
Grg.,
Gttl.,M
Guido,M
Gust.,M
Gustav,M
Gustil,M
Gz.,
Gérard,M
Günth.,M
Günther,M
H.,
Hanna,F
Hanny,F
Hans,M
Hansruedi,M
Harald,M
Harry,M
Hartm.,M
Hch.,M
Hedw.,F
Hedwig,F
Heh.,
Heidi,F
Heidy,F
Heinr.,M
Heinrich,M
Heinz,M
Hektor,M
Hel.,
Helena,F
Helene,F
Helmut,M
Henr.,
Henri,M
Henriette,F
Henry,M
Herbert,M
Herm.,
Hermann,M
Hermine,F
Herta,F
Hieronymus,M
Hilda,F
Hildeg.,F
Hildegard,F
Horace,
Hr.,
Hrch.,
Hs.,
Hubert,M
Hugo,M
Hulda,F
Hélène,F
I.,
Ida,F
Ignaz,
Ilsa,F
Irene,F
Irma,F
Irmo,M
Irène,F
Isaak,M
Isab.,F
Isabella,F
Isid.,
Isidor,M
J.,
J.-S.,
Jacqueline,F
Jacques,M
Jak.,M
Jakob,M
James,M
Jb.,
Jean,M
Jeanne,F
Jeannette,F
Jeanny,F
Jenny,F
Jerem.,
Jerome,
Jetta,F
Jgn.,
Jh.,
Jk.,M
Jo,
Joh.,
Johann,M
Johanna,F
Johannes,M
John,M
Jolanda,F
Jonas,M
Jonathan,M
Jos.,
Jos.-Nap.,
Josef,M
Josefine,F
Joseph,M
Joseph.,
Josephine,F
Jost,M
Jsaak,
Judith,F
Jul.,
Jules,M
Julia,F
Julie,F
Juliette,F
Julius,M
Justin,M
Justine,F
Jérome,
Jörg,M
Jürg,M
K.,
Kar.,
Karl,M
Karl-Rudolf,
Karol.,
Karolina,F
Karoline,F
Kasimir,
Kasp.,M
Kaspar,M
Kath.,F
Kathar.,F
Katharina,F
Kb.,
Kil.,M
Kilian,M
Kl.,
Klara,F
Konr.,M
Konrad,M
Kth.,
Kurt,M
Käthe,F
Käthi,F
Käthy,F
L.,
Laura,F
Laure,F
Laurenz,M
Ldw.,M
Lea,F
Lena,F
Leo,M
Leon,M
Leonh.,M
Leonhard,M
Leonie,F
Leonz,
Leop.,
Leopold,M
Lienh.,
Liliane,F
Lilly,F
Lily,F
Lina,F
Lis.,
Lisa,F
Liselotte,F
Lisette,F
Lorenz,M
Lorenzo,M
Lotty,F
Louis,M
Louise,F
Ls.,
Lse.,F
Luc.,
Lucia,F
Lucie,F
Lucien,M
Lud.,
Ludw.,M
Ludwig,M
Luigi,M
Luigia,F
Luisa,F
Luise,F
Lukas,M
Lutz,M
Luzi,M
Lydia,F
Léon,M
M.,
Ma.,
Madeleine,F
Magd.,F
Magdal.,F
Magdalena,F
Magdl.,
Manfred,M
Manuel,M
Mar.,
Marc,M
Marcel,M
Marcelle,F
Marcus,M
Marg.,F
Margar.,F
Margareth,F
Margaretha,F
Margaritha,F
Margr.,F
Margrit,F
Margrith,F
Marguerite,F
Maria,F
Marianna,F
Marianne,F
Marie,F
Mario,M
Marius,M
Markus,M
Mart.,
Martha,F
Martin,M
Math.,M
Mathias,M
Mathilde,F
Mathäus,M
Matth.,M
Matthias,M
Maurice,M
Max,M
Max.,
Maxim.,
Maximilian,M
Meinrad,M
Melanie,F
Melchior,M
Meta,F
Mgdl.,F
Mich.,
Michael,M
Michel,M
Mina,F
Minna,F
Minnie,F
Miranda,F
Mor.,M
Moritz,M
Moriz,
Moses,M
Mrt.,
N.,
Nanette,F
Nap.,
Nathan,M
Nelly,F
Nikl.,M
Niklaus,M
Nikolaus,M
Nl.,
Nom.,
Numa,F
O.,
Odette,F
Olga,F
Osc.,M
Oscar,M
Osk.,M
Oskar,M
Oswald,M
Othm.,M
Othmar,M
Ottilie,F
Otto,M
P.,
Palmyra,F
Paolo,M
Paul,M
Paul.,
Paula,F
Pauline,F
Pet.,
Peter,M
Ph.,
Phil.,
Philip,M
Philipp,M
Philippe,M
Pia,F
Pierino,M
Pierre,M
Pietro,M
Pius,M
Prosper,M
Q.,
R.,
Rad.,
Ralph,M
Raph.,
Raphael,M
Raymond,M
Reg.,
Regina,F
Reinh.,
Reinhard,M
Reinhold,M
Renato,M
René,M
Renée,F
Rich.,
Richard,M
Rinaldo,M
Rita,F
Ritta,F
Rob,M
Rob.,
Robert,M
Roberto,M
Roger,M
Roland,M
Rolf,M
Rom.,
Roman,M
Romeo,M
Ros.,
Rosa,F
Rosalia,F
Rosalie,F
Rose,F
Rosette,F
Rosina,F
Rosine,F
Rosmarie,F
Rud.,
Rudolf,M
Rudolph,M
Ruth,F
Rémy,
S.,
Sal.,
Salom.,
Salomon,M
Sam.,
Saml.,M
Samuel,M
Sarah,F
Sebast.,
Sebastian,M
Seline,F
Seraph.,
Sev.,
Severino,M
Siegfr.,M
Siegfried,M
Siegmund,M
Sig.,
Sigm.,
Sigmund,M
Silvain,M
Silvio,M
Sim.,
Simon,M
Simone,F
Sl.,
Sml.,
Soph.,
Sophie,F
St.,
Stanisl.,
Steph.,
Stephan,M
Sus.,
Susanna,F
Susanne,F
Suse,F
Susette,F
Susi,F
Suzanne,F
Sylv.,
Sylvia,F
Syrus,M
T.,
Th.,
Theo,M
Theod.,
Theodor,M
Theoph.,M
Theophil,M
Ther.,
Therese,F
Theresia,F
Thom.,
Thomas,M
Tim.,
Tito,M
Tob.,
Tobias,M
Toni,M
Tr.,
Traug.,M
Traugott,M
Trudy,F
U.,
Ul.,
Ulr.,
Ulrich,M
Ulysse,
Umberto,M
Urs,M
Urs.,
Ursula,F
Ursus,M
V.,
Val.,
Valentin,M
Ver.,
Verena,F
Veronika,F
Victoire,M
Victor,M
Vikt.,
Viktor,M
Vinc.,
Vinz.,
Violette,F
Vito,M
Vreneli,F
W.,
Waldemar,M
Walt.,
Walter,M
Walth.,M
Walther,M
We.,
Wendelin,M
Werner,M
Wilh.,M
Wilhelm,M
Wilhelmine,F
Willi,m
William,M
Willy,M
Wladyslaw,M
Wlth.,M
X.,
Xaver,M
Y.,
Yvette,F
Yvonne,F
Z.,
Ád.,
Ál.,
