Adelsname (Rohtext),Adelsname (bereinigt)
de Echesaux,de Echesaux
de Vallamand,de Vallamand
v. Bellerive,von Bellerive
v. Belletrüche,von Belletrüche
v. Belp,von Belp
v. Burgistein,von Burgistein
v. Bümplitz,von Bümplitz
v. d. Wegmühle,von der Wegmühle
v. Erlach,von Erlach
v. Frutigen,von Frutigen
v. Gerzensee,von Gerzensee
v. Gottstatt,von Gottstatt
v. Habstetten,von Habstetten
v. Hofwyl,von Hofwyl
v. Lenzburg,von Lenzburg
v. Lohn,von Lohn
v. Montbenay,von Montbenay
v. Morillon,von Morillon
v. Muri,von Muri
v. Murifeld,von Murifeld
v. Nidau,von Nidau
v. Ortbühl,von Ortbühl
v. Pruntrut,von Pruntrut
v. Reichenbach,von Reichenbach
v. Richigen,v. Richigen
v. Riedburg,von Riedburg
v. Riggisberg,von Riggisberg
v. Röhrswyl,von Röhrswyl
v. Romainmotier,von Romainmotier
v. Rued,von Rued
v. Rümligen,von Rümligen
v. Signau,von Signau
v. Spiez,von Spiez
v. Sulgenbach,von Sulgenbach
v. Ursellen,von Ursellen
v. Walderen,von Walderen
v. Wichtrach,von Wichtrach
v. Worblaufen,von Worblaufen
von Pruntrut,von Pruntrut
vom Schwand,vom Schwand
