Occupation,CH-ISCO-19
Abw.,41103022
Abw. d. Ostwestbahnbüreaux,41103022
Abw. im Milit.-Spt.,41103022
Abwart,41103022
Abwart d. Baudir.,41103022
Abwart der Dalp’schen Buchhandl.,41103022
Adjunkt,33102013 
Adv.,36203005
Advokat,36203005
Almos.,*
Alt-Dekan,43201039
Alt-Reg. Rath,33102120
Alt-Schulth.,33102006
Amtsgerichtschrb.,36202017
Amtsgerichtswbl.,33202150
Amtsn.,36203002
Amtsnot.,36203002
Amtsnotar,36203002
Amtsnotar u. Sachw.,36203002
Amtsnotar u. Sachwalter,36203002
Amtsnotar und Rechtsagent,36203002
Amtsnt.,36203002
Amtsricht.,36203002
Amtsschr.,33202169
Amtsschreiber,33202169
Amtsverw. in Jetzikofen (Krchg. Kirchlindach),*
Angest. auf d. Centralpolizei,*
Angest. auf der eidgen. Militärkanzlei,33202098
Angestellter b. Stempelamt,*
Angestellter d. Justiz- u. Polizeidirektion,*
Angestellter d. Mob.-Assekuranz,33201190
Antiq.,31109002
Antiquar,31109002
Apoth.,42103003
Apothek.,42103003
Arch.,29101001
Architekt,29101001
Archivgehülfe,33207031
Armenpflg.,43101014
Arzt,42101001
Arzt in der Waldau,42101001
Arzt u. gewes. Quart.-Aufs.,42101001
Asphaltl.,23207039
Asphltarb.,23207039
Ausrufer,37306077
Auswandagent u. Speisew.,*
Auswander.-Agent,*
Auswandergsagt.,*
Bachknecht,*
Bäcker,21103001
Badw.,*
Band- u. Merceriehdlg.,*
Bandagist,*
Bandfabrikant,*
Bandhandl.,*
Bandhdl.,*
Bandhdlg.,*
Bankdirektor,33101134
Bankkassier,*
Bannw.,11502009
Bannwart,11502009
Banq.,33101015
Banquier,33101015
Barb.,41301010
Barbier,41301010
Bärenw.,11305014
Barometerfabr.,*
Bauinsp.,33102101
Baumstr.,*
Baumw.-Handlung,*
Bäurisch-Schneid.,*
Bäurischschn.,*
Bchb.,27301001
Bdsrth.,33102106
Bdswbl.,33202022
Beamt. d. franz. Gesandtsch.,*
Bedient.,*
Bedienter,*
Behb.,*
Bergführer,32302007
Besenb.,*
Betthdl.,*
Bettm.,*
Bettmach.,*
Bettmacherin,*
Bettwaarenhdl.,*
Bettwaarenl.,*
Bettwhdl.,*
Bezirksprokurat.,36201011
Biblioth. d. Museumsgesellsch.,*
Bierbr.,21201027
Bierbrauer im Maulbeerbaum,21201027
Bierwirth,*
Bildh.,38301001
Bildhauer,38301001
Bildschng.,*
Blasinstrumentm.,*
Blondenfabr.,*
Blondenm.,*
Blumenfabrk.,*
Blumenhändler.,*
Brieftr.,35103013
Briefträg.,35103013
Briefträger,35103013
Briefträgerchef,35103010
Brieftrg.,35103013
Brillenhändl.,*
Brngrb.,23107007
Brod.,*
Brodb.,21103005
Brodbäck,21103005
Broderie- und Wollwaarenhdl.,*
Broderiehdl.,*
Broderiehdlg.,*
Brodeuse,*
Brunneng.,23107007
Brunnengräber,23107007
Brunnenmstr.,29507041
Brunnmst.,29507041
Buchb.,27301001
Buchbd.,27301001
Buchbind.,27301001
Buchbinder,27301001
Buchdr.,27201004
Buchdruck.,27201004
Buchdrucker,27201004
Buchdrucker u. Schriftgießer,27201004
Buchdruckereibesitzer,33101114
Buchh.,33203029
Buchhalt.,33203029
Buchhalter,33203029
Buchhändler,31104006
Buchhandlung,31104006
Buchhdl.,31104006
Buchhl.,31104006
Buchhl.-Commis,31104006
Buchhlt.,33203029
Buchhlt. d. Einwh.-Ersparnißk.,33203002
Büchsenm.,25404083
Büchsenmacher,25404083
Büchsenschm.,25404083
Büchsenschmd.,25404083
Büchsenschmied,25404083
Büchsschm.,25404083
Bundesrath,33102106
Bundesrth.,33102106
Bundesw.,33202022
Bundesweibel,33202022
Bureauchef,*
Büreauchef,*
Burgerrathsschreib.,*
Bürstbd.,*
Bürstenb.,*
Bürstenhl.,*
Bürstenm.,*
Bürstenmch.,*
Bürstm.,*
Butter- u. Käshändler,31109071
Butterh.,31109071
Butterhändl.,31109071
Butterhdl.,31109071
Caffeew.,*
Caffew.,*
Calandr.,*
Calligraph,*
Cand. med.,*
Capellm.,*
Cassier,*
Charl.,*
Chnbed.,*
Chnftsch.,*
Chnktsch.,*
Chocoladefabr.,*
Chocolfbr.,*
Cigarrenm.,*
Cigarrenmacher,*
Cigarrenmch.,*
Coiff.,41301008
Coiffeur,41301008
Coiffeuse,41301008
Com.,*
Commis,*
Commission.,*
Commissionär,*
Commissionsbureau,*
Condit.,*
Conditor,*
Conditor u. Kellerwirth,*
Condukt.,*
Condukteur,*
Confis.,*
Controll. d. Kantonalbank,*
Corsetm.,*
Corsetmach.,*
Corsetmacherin,*
Corsets u. Art. f. weibl. Arb.,*
Courrier,*
Courtier,*
Cravattenfabr.,*
Cravattenmach.,*
Cravattenmacherin,*
Dachd.,*
Dachdeck.,*
Dachdecker,*
Damenschn.,*
Damenschneiderin,*
Dekatier.,22103056
Dekatiererin,22103056
Direkt.,*
Direkt. der burglich. Mädchenschule,33102137
Direktor d. Waldau,*
Doz.,*
Dozent,*
Dr. Arzt,*
Dr. Lehrer,*
Dr. Med.,*
Dr. Medicinæ,*
Dr. Prof.,*
Dr. med.,*
Drechsl.,26102031
Drechsler,26102031
Drechslermeister,26102002
Dreschl.,*
Drexl.,26102031
Ebenist,*
Einnehmer im Bahnhof,*
Eisenbhn.-Kondukteur,*
Eisendreher,*
Eisengieß.,*
Eisenhdl.,*
Eisenneg.,*
Eisennegot.,*
Eisennegotiant,*
Eisennegt.,*
Eisentröd.,*
Eisentrödl.,*
Eisentrödler,*
Eisenwaarenhdl.,*
Ellenwaarenh.,*
Ellenwaarenhandl.,*
Ellenwaarenhändler,*
Ellenwaarenhandlung,*
Ellenwhdlg.,*
Essigfabr.,21101006
Essigfabrik.,21101006
Essigfabrikant,21101006
Factor,*
Fadenfabr.,*
Färb.,*
Farbenfabrik.,*
Färber,*
Fechtmstr.,*
Feilenh.,*
Feilenhauer,*
Feinwasch.,*
Feinwascherin,*
Feinwsch.,*
Fetthändler,*
Feuerw.,*
Feuerwerker,*
Flachm.,23204027
Flachmal.,23204027
Flachmaler,23204027
Flkenw.,*
Flößer,*
Först.,*
Fournier-Sager,*
Friedensrichter,36201016
Frin.,*
Frspr.,36203006
Fuhrhl.,34503039
Fuhrm.,*
Fuhrmann,34503009
Fümiste,*
Fürsp.,36203006
Fürspr.,36203006
Fürsprech,36203006
Fürtücherfabr.,*
Gärtn.,*
Gärtner,*
Gärtner.,*
Gärtnerin,*
Gasanzünder,*
Gasaufs.,*
Gastw.,39101001
Gastwirth,39101001
Gastwirth z. Zimmerl.,39101001
Gastwrth z. Schmieden,39101001
Gemüsehdl.,*
Gemüshdl.,*
Geom.,*
Geometer,*
Gerber,*
Gerichtspräs.,*
Geschäftsag.,*
Geschäftsm.,*
Geschirrhändlerin,*
Geschirrhdl.,*
Geschirrhdlg.,*
Getreidehdl.,*
Gewächshdl.,*
Gießer,*
Glaser,*
Glaserm.,*
Glashd.,*
Glashdl.,*
Glasml.,*
Glät.,*
Glätt.,*
Glätter.,*
Glätterin,*
Goldarb.,*
Goldarbeiter,*
Goldschm.,*
Goldschmied,*
Göllerkm.,*
Grav.,*
Graveur,*
Graveur u. Speisewirth,*
Gremp.,*
Grempl.,*
Grempler,*
Grin.,*
Großrath u. Nationalrath,*
Gschrrhdl.,*
Gstwrth,39101001
Gürtl.,25309044
Gürtler,25309044
Gutsb.,11103002
Gutsbes.,11103002
Gutsbes. v. Wildegg,11103002
Gutsbesiz. zu Baumareus,11103002
Gutsbesizer,11103002
Gyps.,23203018
Gypser,23203018
Gypser u. Mal.,23203018
Gypser u. Maler,23203018
Gypser u. Tapetenhändler,*
Gypshdl.,*
Gypsreiber,*
Haarflch.,*
Haarflechterin,*
Hafn.,23208002
Hafner,23208002
Hammerschmied,*
Hamschm.,*
Handarb.,*
Handelm.,*
Handelsm.,*
Handelsmann,*
Handl.,*
Handlanger,*
Handschuhm.,*
Handschuhwascherin,*
Haubenm.,*
Haubenmach.,*
Haubenmacherin,*
Häublim.,*
Hauptm.,*
Haus.,*
Hbam.,51103313
Hdlsm.,*
Heb.,51103313
Hebam.,51103313
Hebamme,51103313
Helf. a. Mstr.,*
Helf. a. d. franz. Kirche,*
Helf. z. heil. Geist,*
Helfer,*
Helfer an d. Nydeck,*
Hemden- u. Blousenm.,*
Hlzschuhm.,*
Holzhauer,*
Holzhdl.,*
Holzmess.,*
Holzschuhm.,*
Hufschm.,*
Hufschmied,*
Hutm.,*
Hutmacher,*
Ing.,*
Ingen.,*
Ingenieur,*
Instr.-Adj.,36104033
Instr.-Hauptmann,36104033
Instr.-Offiz.,36104009
Instrk.,44703003
Instrkt.-Major,36104033
Instrukt.,44703003
