Abbreviation,Street
Aarb.,Aarbergergasse
Aarberg.,Aarbergergasse
Aarbergerg.,Aarbergergasse
Aarbergg.,Aarbergergasse
Aarbg.,Aarbergergasse
Aarbgg.,Aarbergergasse
Aargst.,Aargauerstalden
Aargstld.,Aargauerstalden
Aarstr.,Aarstrasse
Aarz.,Aarziele
Aarzhl.,Aarziele
Aarzhle,Aarziele
Aarziehle,Aarziele
Aarzl.,Aarziele
Abg.,Aarbergergasse
a. Bllw.,Äußeres Bollwerk
a. Bollw.,Äußeres Bollwerk
ä. Bollw.,Äußeres Bollwerk
a. Bollwerk,Äußeres Bollwerk
Aebistr.,Aebistrasse
Aegertenstr.,Aegertenstrasse
Ag.,Aarbergergasse
a. Holzm.,Alter Holzmarkt
Allmendstr.,Allmendstrasse
Alpeneckstr.,Alpeneckstrasse
Alpenstr.,Alpenstrasse
Altb.,Altenberg
Altbg.,Altenberg
Altenb.,Altenberg
Altenberg,Altenberg
Altenbergstr.,Altenbergstrasse
Altenbg.,Altenberg
Altenbgstr.,Altenbergstrasse
Altenbstr.,Altenbergstrasse
alter Holzmarkt,Alter Holzmarkt
alt. Holzm.,Alter Holzmarkt
Altnbg.,Altenberg
alt. Schwnmkt.,Alter Schweinemarkt
alt. Viehmarkt,Alter Viehmarkt
Amthausg.,Amthausgasse
Amthausgässchen,Amthausgasse
Anatg.,Anatomiegäßchen
Anatomg.,Anatomiegäßchen
Anatomieg.,Anatomiegäßchen
Anatomiegasse,Anatomiegäßchen
Ankenl.,Ankenlaube
Arbg.,Aarbergergasse
Archivstr.,Archivstrasse
Arz.,Aarziele
Arziehle,Aarziele
Arziele,Aarziele
Attinghausenstr.,Attinghausenstrasse
äuß. Bollw.,Äußeres Bollwerk
äuß. Bollwerk,Äußeres Bollwerk
äußeres Bollwerk,Äußeres Bollwerk
äußere Villette,Äußere Villette
Az.,Aarziele
Badg.,Badgasse
Badl.,Badlaube
Bahnstr.,Bahnstrasse
Bantigerstr.,Bantigerstrasse
Bärenpl.,Bärenplatz
b. Casino,Beim Casino
b. d. Schanze,Bei der Schanze
b. d. Sch.,Bei der Schanze
b. d. Schuzmühle,Bei der Schutzmühle
Beaulieustr.,Beaulieustrasse
Beaumontw.,Beaumontweg
bei der kl. Schanze,Bei der kleinen Schanze
bei der Schanze,Bei der Schanze
beim Casino,Beim Casino
beim unt. Thor,Beim unteren Thor
beim Zeitglockenth.,Zeitglockenthurm
Belpstr.,Belpstrasse
Berchtoldstr.,Berchtoldstrasse
Bernastr.,Bernastrasse
Bernstr.,Bernstrasse
Bethlehemstr.,Bethlehemstrasse
Beundenfeldstr.,Beundenfeldstrasse
Bg.,Brunngasse
Bierh.,Bierhübeli
Bllw.,Bollwerk
Blumenbergstr.,Blumenbergstrasse
Blumenr.,Blumenrain
Blumensteinstr.,Blumensteinstrasse
b. ob. Thor.,Beim oberen Thor
Bolligenstr.,Bolligenstrasse
Bollw.,Bollwerk
Bonstettenstr.,Bonstettenstrasse
Bottigenstr.,Bottigenstrasse
Breitenrainpl.,Breitenrainplatz
Breitenrainstr.,Breitenrainstrasse
Breitenr.,Breitenrain
Breitfeldstr.,Breitfeldstrasse
Bremgartenstr.,Bremgartenstrasse
Brg.,Brunngasse
Bridelstr.,Bridelstrasse
Brn.-gasse,Brunngasse
Brng.,Brunngasse
Brnng.,Brunngasse
Brückenstr.,Brückenstrasse
Brückf.,Brückfeld
Brückfeldstr.,Brückfeldstrasse
Brung.,Brunngasse
Brunnad.,Brunnadern
Brunnadernstr.,Brunnadernstrasse
Brünnenstr.,Brünnenstrasse
Brunng,Brunngasse
Brunng.,Brunngasse
Brunnhofw.,Brunnhofweg
Brunnmattstr.,Brunnmattstrasse
Bubenbergpl.,Bubenbergplatz
Bubenberg-Rain,Bubenbergrain
Bubenbergr.,Bubenbergrain
Bubenbergsrain,Bubenbergrain
Bubenbergstr.,Bubenbergstrasse
Bubenbgrain,Bubenbergrain
Bubenbg.-Rain,Bubenbergrain
Bubenb.-Rain,Bubenbergrain
Bubenbr.,Bubenbergrain
Bubenbth.,Bubenbergthor
Bühlstr.,Bühlstrasse
Bümplizstr.,Bümplizstrasse
Bundesg.,Bundesgasse
Burgunderstr.,Burgunderstrasse
b. u. Th.,Beim unteren Thor
Cäcilienstr.,Cäcilienstrasse
Casinopl.,Casinoplatz
Centralw.,Centralweg
Christoffelg.,Christoffelgasse
Chrstfflg.,Christoffelgasse
Chutzenstr.,Chutzenstrasse
Daxelhoferstr.,Daxelhoferstrasse
Depotstr.,Depotstrasse
Diesbachstr.,Diesbachstrasse
Dietlerstr.,Dietlerstrasse
Dufourstr.,Dufourstrasse
Effingerstr.,Effingerstrasse
Eggimannstr.,Eggimannstrasse
Elisabethenstr.,Elisabethenstrasse
Engehaldenstr.,Engehaldenstrasse
Engestr.,Engestrasse
Ensingerstr.,Ensingerstrasse
Erlachstr.,Erlachstrasse
Fabrikstr.,Fabrikstrasse
Falkenhöhew.,Falkenhöheweg
Falkenp.,Falkenplätzli
Falkenplätzlein,Falkenplätzli
Falkenplätzlein.,Falkenplätzli
Falkenpl.,Falkenplätzli
Falkplz.,Falkenplätzli
Fellenbergstr.,Fellenbergstrasse
Felsenaustr.,Felsenaustrasse
Felsen.,Felsenau
Ferd.-Hodlerstrasse,Hodlerstrasse
Florastr.,Florastrasse
Flurstr.,Flurstrasse
Freiburgstr.,Freiburgstrasse
Freiestr.,Freiestrasse
Frohbergw.,Frohbergweg
Gartenstr.,Gartenstrasse
Gbg.,Gerberngraben
Gchg.,Gerechtigkeitsgasse
Gchtg.,Gerechtigkeitsgasse
Gechtg.,Gerechtigkeitsgasse
Genferg.,Genfergasse
Gerbergasse,Gerberngasse
Gerberg.,Gerberngasse
Gerbergraben,Gerberngraben
Gerberngaben,Gerberngraben
Gerberng.,Gerberngraben
Gerberngraben,Gerberngraben
Gerberngrb.,Gerberngraben
Gerberngr.,Gerberngraben
Gerbernl.,Gerbernlaube
Gerbg.,Gerberngraben
Gerbgr.,Gerberngraben
Gerbl.,Gerbernlaube
Gerchg.,Gerechtigkeitsgasse
Gerchtg.,Gerechtigkeitsgasse
Gerechg.,Gerechtigkeitsgasse
Gerechtg.,Gerechtigkeitsgasse
Gerechtgkg.,Gerechtigkeitsgasse
Gerechtig.,Gerechtigkeitsgasse
Gerechtigkeitsgasse,Gerechtigkeitsgasse
Gerechtigkeitsg.,Gerechtigkeitsgasse
Gerechtigkg.,Gerechtigkeitsgasse
Gerechtigktsg.,Gerechtigkeitsgasse
Gerechtkg.,Gerechtigkeitsgasse
Gereditg.,Gerechtigkeitsgasse
Gesellschaftsstr.,Gesellschaftsstrasse
Gewerbestr.,Gewerbestrasse
Grbg.,Gerberngraben
Grcbtg.,Gerechtigkeitsgasse
Grcg.,Gerechtigkeitsgasse
Grchg.,Gerechtigkeitsgasse
Grchtg,Gerechtigkeitsgasse
Grchtg.,Gerechtigkeitsgasse
Grchtgkg.,Gerechtigkeitsgasse
Grchttsg.,Gerechtigkeitsgasse
Grdtg.,Gerechtigkeitsgasse
Grechtg.,Gerechtigkeitsgasse
Greyerzstr.,Greyerzstrasse
Gurteng.,Gurtengasse
Gutenbergstr.,Gutenbergstrasse
Hallerstr.,Hallerstrasse
Hallwylstr.,Hallwylstrasse
Haspg.,Haspelgasse
Heimstr.,Heimstrasse
Helvetiastr.,Helvetiastrasse
Herrengasse,Herrengasse
Herreng.,Herrengasse
Herrg.,Herrengasse
Herrngasse,Herrengasse
Herrng.,Herrengasse
Herzogstr.,Herzogstrasse
Hg.,Herrengasse
Hirschengr.,Hirschengraben
Hllg.,Holligen
Hllig.,Holligen
Hlzm.,Holzmarkt
Hochfeldstr.,Hochfeldstrasse
Hollg.,Holligen
Holligenstr.,Holligenstrasse
Hollig.,Holligen
Holzm.,Holzmarkt
Hopfenw.,Hopfenweg
Hotellb.,Hotellaube
Hotell.,Hotellaube
Hotll.,Hotellaube
Hrg.,Herrengasse
Hrng.,Herrengasse
Htl.,Hotellaube
Htll.,Hotellaube
Hubelmattstr.,Hubelmattstrasse
Humboldtstr.,Humboldtstrasse
i. Bollwerk,Inneres Bollwerk
i. Bollw.,Inneres Bollwerk
im Pelikan,Im Pelikan
in. Bollwerk,Inneres Bollwerk
in. Bollw.,Inneres Bollwerk
Inselg.,Inselgasse
Insg.,Inselgasse
ir Längg.,Länggasse
Jdg.,Judengasse
Jkg,Junkerngasse
Jkg.,Junkerngasse
Jnkg.,Junkerngasse
Jubiläumsstr.,Jubiläumsstrasse
Judeng.,Judengasse
Judg.,Judengasse
Junkerg.,Junkerngasse
Junkerng.,Junkerngasse
Junkg.,Junkerngasse
Jurastr.,Jurastrasse
Käfg.,Käfichgäßlein
Käfichgässchen,Käfichgäßlein
Käfichgäßchen,Käfichgäßlein
Käfichgäßch.,Käfichgäßlein
Käfichg.,Käfichgäßlein
Käfigg.,Käfichgäßlein
Käfig.,Käfichgäßlein
Kapellenstr.,Kapellenstrasse
Karl-Schenkstr.,Karl-Schenkstrasse
Kasernenstr.,Kasernenstrasse
Kasthoferstr.,Kasthoferstrasse
Kchg.,Kirchgasse
Kehrg.,Kehrgasse
Keltenstr.,Keltenstrasse
Keßg.,Keßlergasse
Kesslergasse,Keßlergasse
Keßlergasse,Keßlergasse
Kesslerg.,Keßlergasse
Keßlerg.,Keßlergasse
Keßlg.,Keßlergasse
Kfchg.,Käfichgäßlein
Kfg.,Käfichgäßlein
Kfichg.,Käfichgäßlein
Kfig.,Käfichgäßlein
Kilg.,Kirchgasse
Kirchbergerstr.,Kirchbergerstrasse
Kirchenfeldstr.,Kirchenfeldstrasse
Kirchenf.,Kirchenfeldstrasse
Kirchgaß,Kirchgasse
Kirchg.,Kirchgasse
Klapperl.,Klapperläubli
Klapplb.,Klapperläubli
Klappl.,Klapperläubli
Kmg.,Kramgasse
Könizstr.,Könizstrasse
Konsumstr.,Konsumstrasse
Kornerhauspl.,Kornhausplatz
Kornhauspl.,Kornhausplatz
Kornh.platz,Kornhausplatz
Kornhpl.,Kornhausplatz
Kornhplz.,Kornhausplatz
Kornhspl.,Kornhausplatz
Kramg,Kramgasse
Kramg.,Kramgasse
Krchg.,Kirchgasse
Krchpl.,Kirchplatz
Kreuzg.,Kreuzgasse
Krg.,Kramgasse
Krhpl.,Kornhausplatz
Krippenstr.,Krippenstrasse
Krmg.,Kramgasse
Krnhpl.,Kornhausplatz
Krzg.,Kreuzgasse
Kßg.,Keßlergasse
Kßlg.,Keßlergasse
Kursaalstr.,Kursaalstrasse
Kyburgstr.,Kyburgstrasse
Ladenwandstr.,Ladenwandstrasse
Landoltstr.,Landoltstrasse
Länggaß,Länggasse
Länggassstrasse,Länggasse
Länggassstr.,Länggasse
Längg.,Länggasse
Läng,Länggasse
Läng.,Länggasse
Langmauer,Längmauer
Langm.,Längmauer
Längm.,Längmauer
Laubeckstr.,Laubeckstrasse
